"","name","syllable.duration","syllable.start","syllable.end","mean.amplitude","mean.pitch","mean.FM","mean.AM.2","mean.entropy","mean.pitch.goodness","mean.mean.freq","var.pitch","var.FM","var.entropy","var.pitch.goodness","var.mean.freq","var.AM","month","day","hour","minute","second","cluster","file.name","comments"
"101","-","59.8639","5071.47",5131.3339,"31.2","512","25.6","-0.00084","-2.68","315.7","2209","784000","470","0.309722","39700","741000","0.00517","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"102","-","93.7868","5160.27",5254.0568,"43","595","40.7","-0.00039","-2.29","325.6","2586","909000","713","0.302994","53100","717000","0.00489","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"103","-","79.8186","5273.02",5352.8386,"38.6","648","55.2","0.00021","-2.66","348.4","2602","1454000","469","0.81489","74200","518000","0.00569","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"104","-","141.678","5368.8",5510.478,"42.7","648","42.7","-0.00062","-1.77","343","3072","721000","668","0.298637","63100","628000","0.00135","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"105","-","86.8027","5532.43",5619.2327,"45.6","1102","25","-0.00037","-4.57","203.5","3005","2101000","758","1.00102","10800","223000","0.00682","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"106","-","206.531","5619.23",5825.761,"42.8","1160","49.8","-0.00106","-2.82","205.9","3286","8119000","676","1.65525","19500","281000","0.00135","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"107","-","69.8413","6436.37",6506.2113,"36.9","630","37.6","-0.00077","-2.13","635.5","2094","1160000","878","0.245144","257800","867000","0.00573","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"108","-","59.8639","6594.01",6653.8739,"32.7","565","36.7","-0.00069","-2.93","310.8","2230","1190000","463","0.497476","48200","844000","0.00465","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"109","-","97.7778","6679.82",6777.5978,"42.5","630","42.5","-0.00094","-2.31","333","2591","1408000","753","0.259302","56600","731000","0.00515","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"110","-","75.8277","6800.54",6876.3677,"40.2","621","52.8","0.00011","-2.48","261.3","2822","2104000","516","0.922221","34300","945000","0.00527","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"111","-","139.683","6892.34",7032.023,"42.8","735","46.2","-0.00103","-1.76","339.2","3024","1129000","667","0.171224","49100","71000","0.00136","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"112","-","83.8095","7056.96",7140.7695,"44.2","1102","33.1","-2e-05","-4.32","275.2","2829","2165000","651","0.667646","38600","243000","0.00682","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"113","-","205.533","7139.77",7345.303,"42.5","1160","48.8","-0.0015","-2.89","202.1","3157","7258000","642","1.5748","20200","273000","0.00117","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"114","-","56.8707","8039.73",8096.6007,"30.7","525","36.2","-0.00054","-2.22","360.8","2457","724000","428","0.211176","70900","321000","0.00464","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"115","-","96.78","8137.51",8234.29,"41.3","580","38.8","-0.00064","-2.41","358.1","2549","1116000","734","0.456905","95800","718000","0.00343","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"116","-","76.8254","8257.23",8334.0554,"38.1","668","49.7","-0.0008","-2.55","329.4","2668","1262000","533","0.765671","58300","613000","0.00519","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"117","-","139.683","8345.03",8484.713,"41.8","787","44.6","-0.00076","-2","308.7","3118","1001000","609","0.360254","43800","108000","0.00181","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"118","-","84.8073","8511.66",8596.4673,"43.9","1102","29","-0.00087","-4.38","200.4","3030","2460000","850","0.97058","9900","190000","0.00261","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"119","-","202.54","8598.46",8801,"41.5","1102","47.6","-0.00156","-2.82","182.3","3443","8141000","659","1.78612","15100","272000","0.00133","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"120","-","63.8549","10056.1",10119.9549,"33.9","648","37.8","-0.00128","-2.03","357.9","2039","1025000","704","0.0885649","51600","580000","0.00612","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"121","-","64.8526","10154.9",10219.7526,"36.3","612","39.5","-0.00013","-1.63","352","2337","1230000","640","0.114388","135100","828000","0.0064","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"122","-","103.764","10315.6",10419.364,"39.5","648","24.4","0.00036","-2.38","517.4","2423","1003000","615","0.427072","113700","941000","0.00786","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"123","-","61.8594","10508.1",10569.9594,"34.5","551","36.2","-0.00132","-2.73","367.1","2374","814000","710","1.15702","75700","116000","0.0055","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"124","-","99.7732","10598.9",10698.6732,"42.6","648","42.7","-0.0008","-2.29","361.4","2470","904000","719","0.260932","94400","686000","0.00666","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
"125","-","78.8209","10714.6",10793.4209,"40.3","648","54.2","8e-05","-2.25","317.2","2602","1598000","471","0.958492","45800","480000","0.00558","12","20","8","15","6","0","Yellow119_December_20_2013_29691843.wav","comments"
